商品ｺｰﾄﾞ,商品名,商品名索引,単位,上代単価
110006,ｻｸｼｮﾝｽｸﾘｭｰ(ﾀﾞｲﾔｶﾞﾝ用),ｻｸｼｮﾝｽ,個,0
110007,KIB型ｻｸｼｮﾝﾎｰｽ (ﾊﾞｲﾄﾝ),ｻｸｼｮﾝ,本,300
110008,ｼﾘﾝﾀﾞｰ(ｴｱｰｶﾞﾝ SS-1用),ｼﾘﾝﾀﾞ,個,0
110009,KI直ﾉｽﾞﾙ一式,ﾉｽﾞﾙ,ｾｯﾄ,5000
110010,KIｽｲｯﾁ　SB-61A,ｽｲｯﾁ,個,0
110011,KIﾎﾟﾝﾌﾟｼﾘﾝﾀﾞｰ,ﾎﾟﾝﾌﾟｼ,本,6500
110012,KIﾛﾝｸﾞﾉｽﾞﾙ一式,ﾉｽﾞﾙ,ｾｯﾄ,0
110013,KI変更ﾉｽﾞﾙ一式,ﾉｽﾞﾙ,ｾｯﾄ,5000
110014,EX変更ﾉｽﾞﾙ一式,ﾉｽﾞﾙ,ｾｯﾄ,5000
110015,ｺﾙﾄﾉｽﾞﾙ一式,ﾉｽﾞﾙ,ｾｯﾄ,5000
110016,ﾕﾆｰﾉｽﾞﾙ一式,ﾉｽﾞﾙ,ｾｯﾄ,5000
110017,EXﾛﾝｸﾞﾉｽﾞﾙ一式,ﾉｽﾞﾙ,ｾｯﾄ,0
110018,ﾀﾞｲﾔﾉｽﾞﾙ一式,ﾉｽﾞﾙ,ｾｯﾄ,0
110019,ｸﾘﾝｽｰﾊﾟｰﾉｽﾞﾙ一式,ﾉｽﾞﾙ,ｾｯﾄ,0
110020,KI-10型ｾﾗﾐｯｸﾎﾟﾝﾌﾟ一式,ﾎﾟﾝﾌﾟ,ｾｯﾄ,10000
110021,KI-30型ｾﾗﾐｯｸﾎﾟﾝﾌﾟ一式,ﾎﾟﾝﾌﾟ,ｾｯﾄ,11000
110022,EXｾﾗﾐｯｸﾎﾟﾝﾌﾟ一式,ﾎﾟﾝﾌﾟ,ｾｯﾄ,11000
110023,5Lﾎﾟﾘ容器(角),ﾎﾟﾘﾖｳｷ,個,1000
110024,EXﾎﾟﾝﾌﾟｽｸﾘｭｰ,ﾎﾟﾝﾌﾟｽ,個,200
110025,EXﾋﾟｽﾄﾝB,ﾋﾟｽﾄﾝB,個,0
110026,EXﾎﾟﾝﾌﾟﾊｳｼﾞﾝｸﾞ(青),ﾎﾟﾝﾌﾟﾊ,個,6000
110027,EX用ﾌｯｸ,ﾌｯｸ,個,600
110028,EXｺﾝﾄﾛｰﾙﾉﾌﾞ,ｺﾝﾄﾛﾙﾉ,個,2400
110029,EX可動鉄心,ｶﾄﾞｳ,個,4000
110030,ECORZA用ﾌｯｸ,ﾌｯｸ,個,600
110031,EXﾏｸﾞﾈｯﾄ　　10型,ﾏｸﾞﾈｯﾄ,個,5000
110032,EX板ﾊﾞﾈ,ｲﾀﾊﾞﾈ,個,1000
110033,EXﾊﾝﾄﾞﾙ,ﾊﾝﾄﾞﾙ,ｾｯﾄ,4200
110034,KI曲ﾉｽﾞﾙ一式,ﾉｽﾞﾙ,ｾｯﾄ,0
110035,EXｽｲｯﾁ押ﾎﾞﾀﾝ,ｽｲｯﾁｵｼ,個,500
110036,EXﾀﾞｲｵｰﾄﾞ,ﾀﾞｲｵｰﾄ,個,0
110037,EX端子台,ﾀﾝｼﾀﾞｲ,個,400
110038,EXﾘｰﾄﾞｽﾌﾟﾘﾝｸﾞ,ﾘｰﾄﾞｽ,個,0
110039,電源ｺｰﾄﾞ(EX/KI),ｺｰﾄﾞ,個,1000
110040,EXｻｸｼｮﾝｽｸﾘｭｰ,ｻｸｼｮﾝ,個,700
110041,EXｻｸｼｮﾝｽﾌﾟﾘﾝｸﾞ(S),ｻｸｼｮﾝｽ,個,120
110042,EXﾄﾞﾚﾝｽｸﾘｭｰ,ﾄﾞﾚﾝｽｸ,個,700
110043,EXﾎｰﾙﾄﾞｽｸﾘｭｰ,ﾎｰﾙﾄﾞｽ,個,700
110044,BL用 ｻｸｼｮﾝﾎｰｽ,ｻｸｼｮﾝﾎ,本,180
110045,KI-B型ｻｸｼｮﾝﾎｰｽ一式,ｻｸｼｮﾝﾎ,ｾｯﾄ,1500
110046,EXﾌｨﾙﾀｰ,ﾌｨﾙﾀ-,個,1400
110047,缶ｷｬｯﾌﾟﾎｰｽ一式,ｶﾝｷｬｯﾌ,ｾｯﾄ,2200
110048,EXｽﾄｯﾌﾟﾊﾞﾙﾌﾞ,ｽﾄｯﾌﾟ,ｾｯﾄ,7500
110049,LSﾎｰｽ一式,LSﾎｰｽ,ｾｯﾄ,7000
110050,LSﾎｰｽ　2M,LSﾎｰｽ,本,2400
110051,LSVﾎｰｽ(2M),LSVﾎｰｽ,本,1000
110052,LSVﾎ-ｽ一式(缶ｷｬｯﾌﾟ仕様),LSVﾎｰｽ,ｾｯﾄ,3000
110053,VHﾎｰｽ(3M),VHﾎｰｽ,本,1500
110054,VHﾎｰｽ一式(缶ｷｬｯﾌﾟ仕様),VHﾎｰｽ,ｾｯﾄ,3500
110055,EXﾉｽﾞﾙﾍｯﾄﾞ,ﾉｽﾞﾙﾍ,個,1700
110056,EXﾎﾞﾄﾙ(BL用),ﾎﾞﾄﾙ,個,1000
110057,EXﾎﾞﾄﾙﾎﾙﾀﾞｰ,ﾎﾞﾄﾙﾎﾙ,個,1000
110058,ﾄﾞﾚﾝﾎﾞﾄﾙ(ﾌﾀﾂｷ),ﾄﾞﾚﾝﾎﾞ,個,400
110059,ﾎﾟﾘｷｬｯﾌﾟﾎｰｽ一式,ﾎﾟﾘｷｬｯ,ｾｯﾄ,2200
110060,缶ｷｬｯﾌﾟ用ｼﾞｮｲﾝﾄ,ｼﾞｮｲﾝﾄ,個,600
110061,EXｽｲｯﾁ取付ﾌﾟﾚｰﾄ,ｽｲｯﾁﾄﾘ,個,1000
110062,ｽｲｯﾁﾊﾞﾙﾌﾞ一式,ｽｲｯﾁﾊﾞ,ｾｯﾄ,0
110063,ﾌﾟﾗｸﾞ付電源ｺｰﾄﾞ(ﾀﾞｲﾔ用),ｺｰﾄﾞ,個,0
110064,EXﾋﾟｽﾄﾝA,ﾋﾟｽﾄﾝA,個,4500
110065,ｵｰﾘﾝｸﾞ(P-3),ｵｰﾘﾝｸﾞ,個,200
110066,EXﾉｽﾞﾙﾁｯﾌﾟ,ﾉｽﾞﾙﾁ,個,0
110067,EXﾉｽﾞﾙﾊﾟｯｷﾝ(ﾃﾌﾛﾝﾘﾝｸﾞ),ﾉｽﾞﾙﾊﾟ,個,200
110068,EXﾉｽﾞﾙﾚﾊﾞｰ軸,ﾉｽﾞﾙﾚﾊ,個,0
110069,EXﾊﾞｯﾌｧｺﾞﾑ,ﾊﾞｯﾌｧ,個,430
